timestamp,load_kW,hour,dayofweek,is_weekend
2023-01-01 00:00:00,37.48357076505616,0,6,1
2023-01-01 01:00:00,30.426392817606263,1,6,1
2023-01-01 02:00:00,30.73844269050346,2,6,1
2023-01-01 03:00:00,32.008547564241915,3,6,1
2023-01-01 04:00:00,20.838852069616745,4,6,1
2023-01-01 05:00:00,19.340427820918073,5,6,1
2023-01-01 06:00:00,27.896064077536955,6,6,1
2023-01-01 07:00:00,24.34828625142852,7,6,1
2023-01-01 08:00:00,19.662247013558662,8,6,1
2023-01-01 09:00:00,27.10619850013161,9,6,1
2023-01-01 10:00:00,25.182911535937688,10,6,1
2023-01-01 11:00:00,28.789065555610904,11,6,1
2023-01-01 12:00:00,36.20981135783017,12,6,1
2023-01-01 13:00:00,29.31588445324882,13,6,1
2023-01-01 14:00:00,33.875410837434835,14,6,1
2023-01-01 15:00:00,42.79516407159335,15,6,1
2023-01-01 16:00:00,42.92622545509446,16,6,1
2023-01-01 17:00:00,51.06012405731239,17,6,1
2023-01-01 18:00:00,45.45987962239394,18,6,1
2023-01-01 19:00:00,42.42736888765957,19,6,1
2023-01-01 20:00:00,55.31862490137435,20,6,1
2023-01-01 21:00:00,44.47772021536554,21,6,1
2023-01-01 22:00:00,42.837641023439616,22,6,1
2023-01-01 23:00:00,31.758544745470537,23,6,1
2023-01-02 00:00:00,32.27808637737409,0,0,0
2023-01-02 01:00:00,31.67232727201152,1,0,0
2023-01-02 02:00:00,21.745032112888488,2,0,0
2023-01-02 03:00:00,26.271888373930143,3,0,0
2023-01-02 04:00:00,19.00642549363939,4,0,0
2023-01-02 05:00:00,19.052643856697593,5,0,0
2023-01-02 06:00:00,16.991466938853016,6,0,0
2023-01-02 07:00:00,29.772503528208663,7,0,0
2023-01-02 08:00:00,10.971066409771876,8,0,0
2023-01-02 09:00:00,19.104843637422285,9,0,0
2023-01-02 10:00:00,31.612724560515943,10,0,0
2023-01-02 11:00:00,25.013496073607076,11,0,0
2023-01-02 12:00:00,36.04431797502378,12,0,0
2023-01-02 13:00:00,29.083935057138937,13,0,0
2023-01-02 14:00:00,35.859069755507846,14,0,0
2023-01-02 15:00:00,46.59090789714383,15,0,0
2023-01-02 16:00:00,51.68271395674363,16,0,0
2023-01-02 17:00:00,50.34572880028587,17,0,0
2023-01-02 18:00:00,49.4217585880588,18,0,0
2023-01-02 19:00:00,47.98336891638958,19,0,0
2023-01-02 20:00:00,40.59777110492944,20,0,0
2023-01-02 21:00:00,42.00738067582467,21,0,0
2023-01-02 22:00:00,40.196806145201066,22,0,0
2023-01-02 23:00:00,44.167896807632395,23,0,0
2023-01-03 00:00:00,36.718091447842305,0,1,0
2023-01-03 01:00:00,22.30251354664852,1,1,0
2023-01-03 02:00:00,29.120419846973977,2,1,0
2023-01-03 03:00:00,22.467986880120204,3,1,0
2023-01-03 04:00:00,18.625008941703623,4,1,0
2023-01-03 05:00:00,23.569494049868315,5,1,0
2023-01-03 06:00:00,25.15499761247975,6,1,0
2023-01-03 07:00:00,25.16751320124497,7,1,0
2023-01-03 08:00:00,17.81353132712023,8,1,0
2023-01-03 09:00:00,22.84733640294571,9,1,0
2023-01-03 10:00:00,29.15631715701782,10,1,0
2023-01-03 11:00:00,35.995439959073984,11,1,0
2023-01-03 12:00:00,32.60412881077355,12,1,0
2023-01-03 13:00:00,37.95399079321873,13,1,0
2023-01-03 14:00:00,36.968325129969855,14,1,0
2023-01-03 15:00:00,39.62556859739486,15,1,0
2023-01-03 16:00:00,52.05301016873757,16,1,0
2023-01-03 17:00:00,56.270087537190136,17,1,0
2023-01-03 18:00:00,24.819974696049165,18,1,0
2023-01-03 19:00:00,54.50655188379615,19,1,0
2023-01-03 20:00:00,49.798561182004754,20,1,0
2023-01-03 21:00:00,42.38100294477259,21,1,0
